               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.020671,            0.019881,           0.0014006,             0.96385,             0.93798,             0.97632,             0.82246,            0.015306,            0.010471,           0.0014862,           0.0087031,           0.0087031,           0.0087031
                 133,            0.020926,            0.019247,           0.0023631,             0.92238,             0.97827,              0.9742,             0.82202,            0.015409,            0.010544,           0.0014355,           0.0086932,           0.0086932,           0.0086932
                 134,            0.019678,            0.019017,           0.0015495,              0.9561,             0.93281,             0.96544,             0.79748,            0.017596,            0.010788,           0.0014232,           0.0086833,           0.0086833,           0.0086833
                 135,            0.021372,            0.018478,           0.0020001,             0.94159,              0.9471,              0.9624,             0.80645,            0.016551,            0.011041,           0.0016042,           0.0086734,           0.0086734,           0.0086734
                 136,            0.019378,            0.018549,           0.0017566,             0.92816,             0.95846,             0.95974,             0.81038,            0.015869,            0.010467,           0.0015771,           0.0086635,           0.0086635,           0.0086635
                 137,             0.02005,            0.019377,           0.0013135,              0.9214,             0.95807,             0.96371,             0.81161,            0.016946,            0.010754,           0.0013517,           0.0086536,           0.0086536,           0.0086536
                 138,            0.020928,            0.020238,            0.001854,             0.90571,             0.94894,             0.96413,             0.80629,            0.014718,            0.010369,           0.0017107,           0.0086437,           0.0086437,           0.0086437
                 139,            0.018668,            0.019249,           0.0022133,             0.92173,             0.94769,             0.96911,             0.81571,            0.017564,             0.01059,           0.0015739,           0.0086338,           0.0086338,           0.0086338
                 140,             0.01951,            0.019794,           0.0019609,             0.93803,             0.95934,             0.97558,             0.82083,            0.017034,            0.010413,           0.0014486,           0.0086239,           0.0086239,           0.0086239
                 141,            0.020024,            0.019177,           0.0016253,             0.95097,             0.96231,             0.97587,             0.82017,            0.016807,             0.01041,            0.001378,            0.008614,            0.008614,            0.008614
                 142,            0.018052,            0.017493,            0.001481,             0.94585,             0.97609,             0.97714,             0.82746,            0.017076,            0.010399,           0.0012905,           0.0086041,           0.0086041,           0.0086041
                 143,            0.019969,            0.019395,           0.0012426,             0.93904,             0.97891,             0.97608,             0.81566,             0.01527,           0.0098455,           0.0012855,           0.0085942,           0.0085942,           0.0085942
                 144,            0.019604,            0.019124,           0.0016377,             0.95079,             0.95776,             0.97458,             0.81402,            0.016019,            0.010016,           0.0012813,           0.0085843,           0.0085843,           0.0085843
                 145,            0.018544,            0.017679,           0.0017757,             0.94681,             0.95264,             0.97113,             0.81547,            0.015594,            0.010516,           0.0012895,           0.0085744,           0.0085744,           0.0085744
                 146,             0.01923,            0.018716,           0.0016254,             0.94032,             0.96312,             0.96714,             0.81375,            0.016047,             0.01079,            0.001354,           0.0085645,           0.0085645,           0.0085645
                 147,            0.018245,            0.017763,           0.0020305,               0.948,             0.96513,             0.96834,             0.82534,            0.014794,            0.010433,           0.0012285,           0.0085546,           0.0085546,           0.0085546
                 148,            0.020238,             0.01866,           0.0018805,             0.94527,              0.9536,             0.97374,             0.80485,            0.016842,            0.010581,           0.0011788,           0.0085447,           0.0085447,           0.0085447
                 149,            0.019877,             0.01844,           0.0019204,              0.9401,              0.9788,             0.97958,             0.81251,            0.015636,            0.010216,           0.0011177,           0.0085348,           0.0085348,           0.0085348
                 150,            0.018597,            0.018583,            0.002212,              0.9448,             0.98037,             0.97758,             0.81342,            0.016954,            0.010562,           0.0011162,           0.0085249,           0.0085249,           0.0085249
                 151,            0.020502,            0.018057,           0.0017893,             0.93813,             0.97559,             0.97609,              0.8371,            0.016183,            0.010218,             0.00128,            0.008515,            0.008515,            0.008515
